Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=3600 val=340 test=48
/root/gf/code/train.py:128: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E77/100] loss=0.506 val_F1=0.9378 val_IoU=0.8828 (36s)
[E78/100] loss=0.510 val_F1=0.9383 val_IoU=0.8837 (40s)
[E79/100] loss=0.521 val_F1=0.9334 val_IoU=0.8752 (37s)
[E80/100] loss=0.516 val_F1=0.9358 val_IoU=0.8794 (39s)
[E81/100] loss=0.514 val_F1=0.9339 val_IoU=0.8760 (39s)
[E82/100] loss=0.502 val_F1=0.9372 val_IoU=0.8819 (37s)
[E83/100] loss=0.503 val_F1=0.9353 val_IoU=0.8784 (40s)
[E84/100] loss=0.494 val_F1=0.9342 val_IoU=0.8765 (38s)
[E85/100] loss=0.507 val_F1=0.9338 val_IoU=0.8759 (38s)
[E86/100] loss=0.490 val_F1=0.9355 val_IoU=0.8788 (42s)
[E87/100] loss=0.498 val_F1=0.9360 val_IoU=0.8797 (39s)
[E88/100] loss=0.493 val_F1=0.9362 val_IoU=0.8800 (38s)
[E89/100] loss=0.495 val_F1=0.9412 val_IoU=0.8889 (39s)
[E90/100] loss=0.495 val_F1=0.9388 val_IoU=0.8847 (39s)
[E91/100] loss=0.481 val_F1=0.9360 val_IoU=0.8798 (36s)
[E92/100] loss=0.489 val_F1=0.9325 val_IoU=0.8735 (39s)
[E93/100] loss=0.485 val_F1=0.9386 val_IoU=0.8842 (42s)
[E94/100] loss=0.492 val_F1=0.9334 val_IoU=0.8751 (37s)
[E95/100] loss=0.484 val_F1=0.9328 val_IoU=0.8741 (40s)
[E96/100] loss=0.483 val_F1=0.9341 val_IoU=0.8764 (43s)
[E97/100] loss=0.485 val_F1=0.9393 val_IoU=0.8855 (38s)
[E98/100] loss=0.497 val_F1=0.9372 val_IoU=0.8818 (38s)
[E99/100] loss=0.484 val_F1=0.9384 val_IoU=0.8840 (39s)
[E100/100] loss=0.497 val_F1=0.9354 val_IoU=0.8787 (38s)

=== TEST (dsifn_dcff) === F1=0.6100 IoU=0.4388 P=0.5058 R=0.7683  (best val@ep89)
[ALL_DONE]
