Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=3600 val=340 test=48
/root/gf/code/train.py:131: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E77/100] loss=0.306 val_F1=0.9564 val_IoU=0.9164 (139s)
[E78/100] loss=0.297 val_F1=0.9560 val_IoU=0.9157 (140s)
[E79/100] loss=0.296 val_F1=0.9574 val_IoU=0.9182 (140s)
[E80/100] loss=0.298 val_F1=0.9575 val_IoU=0.9184 (118s)
[E81/100] loss=0.293 val_F1=0.9586 val_IoU=0.9204 (105s)
[E82/100] loss=0.297 val_F1=0.9581 val_IoU=0.9195 (104s)
[E83/100] loss=0.294 val_F1=0.9579 val_IoU=0.9192 (105s)
[E84/100] loss=0.290 val_F1=0.9565 val_IoU=0.9166 (107s)
[E85/100] loss=0.293 val_F1=0.9560 val_IoU=0.9157 (105s)
[E86/100] loss=0.294 val_F1=0.9574 val_IoU=0.9182 (104s)
[E87/100] loss=0.293 val_F1=0.9577 val_IoU=0.9189 (104s)
[E88/100] loss=0.291 val_F1=0.9595 val_IoU=0.9222 (106s)
[E89/100] loss=0.289 val_F1=0.9571 val_IoU=0.9178 (106s)
[E90/100] loss=0.291 val_F1=0.9592 val_IoU=0.9215 (104s)
[E91/100] loss=0.289 val_F1=0.9560 val_IoU=0.9158 (104s)
[E92/100] loss=0.287 val_F1=0.9577 val_IoU=0.9188 (105s)
[E93/100] loss=0.286 val_F1=0.9587 val_IoU=0.9206 (105s)
[E94/100] loss=0.287 val_F1=0.9582 val_IoU=0.9198 (106s)
[E95/100] loss=0.286 val_F1=0.9557 val_IoU=0.9151 (70s)
[E96/100] loss=0.282 val_F1=0.9578 val_IoU=0.9190 (70s)
[E97/100] loss=0.284 val_F1=0.9586 val_IoU=0.9205 (72s)
[E98/100] loss=0.286 val_F1=0.9575 val_IoU=0.9185 (72s)
[E99/100] loss=0.284 val_F1=0.9566 val_IoU=0.9167 (70s)
[E100/100] loss=0.285 val_F1=0.9581 val_IoU=0.9197 (70s)

=== TEST (dsifn512_dcff_v2) === F1=0.6761 IoU=0.5107 P=0.5868 R=0.7975  (best val@ep88)
[ALL_DONE]
