Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=3654 val=1219 test=1218
/root/gf/code/train.py:128: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E77/100] loss=0.309 val_F1=0.7877 val_IoU=0.6498 (46s)
[E78/100] loss=0.309 val_F1=0.7993 val_IoU=0.6657 (46s)
[E79/100] loss=0.310 val_F1=0.7951 val_IoU=0.6599 (44s)
[E80/100] loss=0.307 val_F1=0.7918 val_IoU=0.6554 (45s)
[E81/100] loss=0.309 val_F1=0.7963 val_IoU=0.6615 (43s)
[E82/100] loss=0.303 val_F1=0.7990 val_IoU=0.6652 (43s)
[E83/100] loss=0.303 val_F1=0.8002 val_IoU=0.6669 (44s)
[E84/100] loss=0.303 val_F1=0.8107 val_IoU=0.6816 (50s)
[E85/100] loss=0.296 val_F1=0.7973 val_IoU=0.6630 (43s)
[E86/100] loss=0.301 val_F1=0.8080 val_IoU=0.6778 (44s)
[E87/100] loss=0.299 val_F1=0.8031 val_IoU=0.6710 (48s)
[E88/100] loss=0.298 val_F1=0.8049 val_IoU=0.6734 (35s)
[E89/100] loss=0.304 val_F1=0.8007 val_IoU=0.6676 (35s)
[E90/100] loss=0.300 val_F1=0.8025 val_IoU=0.6702 (34s)
[E91/100] loss=0.299 val_F1=0.8035 val_IoU=0.6716 (33s)
[E92/100] loss=0.295 val_F1=0.8025 val_IoU=0.6702 (35s)
[E93/100] loss=0.296 val_F1=0.8018 val_IoU=0.6692 (35s)
[E94/100] loss=0.296 val_F1=0.7964 val_IoU=0.6617 (31s)
[E95/100] loss=0.297 val_F1=0.8013 val_IoU=0.6685 (33s)
[E96/100] loss=0.294 val_F1=0.8003 val_IoU=0.6670 (35s)
[E97/100] loss=0.293 val_F1=0.7955 val_IoU=0.6604 (32s)
[E98/100] loss=0.299 val_F1=0.7981 val_IoU=0.6640 (33s)
[E99/100] loss=0.292 val_F1=0.7986 val_IoU=0.6647 (35s)
[E100/100] loss=0.295 val_F1=0.8017 val_IoU=0.6691 (34s)

=== TEST (egy_dcff) === F1=0.8047 IoU=0.6732 P=0.7454 R=0.8742  (best val@ep84)
[ALL_DONE]
